id,created_at,username,current_rating
118,2024-04-01 19:55:51.4348+00,judicium,"{""mu"": 20.95554360512474, ""sigma"": 6.27876893533936, ""ordinal"": 1250.8616831785598}"
119,2024-04-01 19:55:51.4348+00,Gharr,"{""mu"": 22.083865673589017, ""sigma"": 5.273522041972369, ""ordinal"": 1350.3191891441259}"
120,2024-04-01 19:55:51.4348+00,Feast4Crows,"{""mu"": 31.501154790221985, ""sigma"": 5.664715904527534, ""ordinal"": 1548.1681698393452}"
121,2024-04-01 19:55:51.4348+00,poserLX,"{""mu"": 30.93703268710557, ""sigma"": 2.7887190847134526, ""ordinal"": 1741.7010103911653}"
122,2024-04-01 19:55:51.4348+00,dAy,"{""mu"": 36.569966236814196, ""sigma"": 2.998234804966463, ""ordinal"": 1861.8062837259554}"
123,2024-04-01 19:55:51.4348+00,bennyflips,"{""mu"": 24.42169079437535, ""sigma"": 6.339872279661223, ""ordinal"": 1329.6497749294003}"
124,2024-04-01 19:55:51.4348+00,snoopymate25,"{""mu"": 15.747026975117887, ""sigma"": 7.260451338280017, ""ordinal"": 1055.176151046668}"
125,2024-04-01 19:55:51.4348+00,erewego,"{""mu"": 27.856956675176253, ""sigma"": 5.745341964011233, ""ordinal"": 1454.9023387954212}"
126,2024-04-01 19:55:51.4348+00,Falagar,"{""mu"": 19.31921990992114, ""sigma"": 5.752732358952593, ""ordinal"": 1249.4645479935207}"
127,2024-04-01 19:55:51.4348+00,howdydoodie,"{""mu"": 20.517462187815326, ""sigma"": 7.327496834937697, ""ordinal"": 1164.8393203920537}"
128,2024-04-01 19:55:51.4348+00,MLoki,"{""mu"": 24.78944275703807, ""sigma"": 7.795593859774447, ""ordinal"": 1233.6638682651535}"
129,2024-04-01 19:55:51.4348+00,echostaffel,"{""mu"": 27.50745663810687, ""sigma"": 3.9408570151576017, ""ordinal"": 1576.4372542232177}"
130,2024-04-01 19:55:51.4348+00,Fresh Meat,"{""mu"": 29.175297718227057, ""sigma"": 6.255121773254055, ""ordinal"": 1449.8383775631573}"
131,2024-04-01 19:55:51.4348+00,Video Game Muso,"{""mu"": 25.96339824277804, ""sigma"": 7.129191767867917, ""ordinal"": 1309.819750540183}"
132,2024-04-01 19:55:51.4348+00,Albionwolf,"{""mu"": 32.22914854751917, ""sigma"": 6.630905568289218, ""ordinal"": 1496.0743642236366}"
133,2024-04-01 19:55:51.4348+00,Sophrosyne36,"{""mu"": 27.63064987595111, ""sigma"": 4.841695139568984, ""ordinal"": 1514.5335469738598}"
134,2024-04-01 19:55:51.4348+00,rabenjamain16,"{""mu"": 17.769839670245634, ""sigma"": 6.486563487223553, ""ordinal"": 1159.4435810057994}"
135,2024-04-01 19:55:51.4348+00,jay,"{""mu"": 27.52821791166299, ""sigma"": 7.558913059308483, ""ordinal"": 1316.4354896097009}"
