game,player,ranking,updated_rating
53,37,1,"{""mu"": 31.97012261677551, ""sigma"": 7.356785987187942, ""ordinal"": 1437.5943517250803}"
53,31,3,"{""mu"": 24.75039827366303, ""sigma"": 8.071079022400781, ""ordinal"": 1212.8918689550565}"
53,62,4,"{""mu"": 20.942762059710944, ""sigma"": 8.071079022400781, ""ordinal"": 1121.5085998202064}"
53,27,2,"{""mu"": 26.654216380639074, ""sigma"": 8.173025007087798, ""ordinal"": 1251.2433926250164}"
54,99,1,"{""mu"": 37.52777119634948, ""sigma"": 7.455357833362328, ""ordinal"": 1563.8807447103}"
54,74,2,"{""mu"": 26.094581972172, ""sigma"": 8.05875604969148, ""ordinal"": 1246.0395317543416}"
54,78,3,"{""mu"": 21.685732876889297, ""sigma"": 8.05875604969148, ""ordinal"": 1140.2271534675565}"
55,17,2,"{""mu"": 25.717262170187357, ""sigma"": 8.058224222802378, ""ordinal"": 1237.0221480427253}"
55,199,3,"{""mu"": 21.413689149063217, ""sigma"": 8.058224222802378, ""ordinal"": 1133.736395535746}"
55,66,1,"{""mu"": 27.869048680749426, ""sigma"": 8.205243377397993, ""ordinal"": 1278.0796451653307}"
56,202,2,"{""mu"": 26.595487268420104, ""sigma"": 8.167880944864665, ""ordinal"": 1250.2042664118267}"
56,171,1,"{""mu"": 27.458555600204335, ""sigma"": 7.219474824028056, ""ordinal"": 1339.2031470748839}"
56,9,4,"{""mu"": 20.865545387643547, ""sigma"": 8.064869780755416, ""ordinal"": 1120.1024650890552}"
56,135,3,"{""mu"": 24.685506641494584, ""sigma"": 8.064869780755416, ""ordinal"": 1211.7815351814802}"
57,167,2,"{""mu"": 26.143749737363216, ""sigma"": 7.533207071584956, ""ordinal"": 1285.0590845426004}"
57,15,1,"{""mu"": 22.148003220191473, ""sigma"": 7.505825728358431, ""ordinal"": 1191.1326248427883}"
57,115,4,"{""mu"": 20.746586774395237, ""sigma"": 8.05243604090597, ""ordinal"": 1118.1426876402559}"
57,3,3,"{""mu"": 24.605096042990567, ""sigma"": 8.05243604090597, ""ordinal"": 1210.7469100865437}"
58,42,3,"{""mu"": 24.318637743526054, ""sigma"": 7.474386232115828, ""ordinal"": 1245.4914971322855}"
